id,order_id,product_id,pack_id,product_name,product_image,quantity,size,color,price_at_purchase
3c17542e-3fdb-4da5-9b90-de93a5d4c1e5,9771a19b-54b8-4121-912c-47183e49a536,2700725c-5e98-43c0-b5b0-f148cc9ed33a,,HAREER,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/rh3y9wgkpo8.jpeg,1,42,Ivoire,16900.00
3d92c851-6b4c-48be-b422-61d22f290228,02241acf-27f1-4b9a-9cee-cedf0c03cde5,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,,WERD,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/f8yqvowb0ik.jpeg,1,38,Ivoire,19900.00
40a5f431-f649-4e84-aada-f277e9beae18,c7b157f9-95af-4c32-8664-45f33fda2f9c,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,40,Blanc,16900.00
43cb7f5b-cf4f-4eb2-ba44-5d0de63de33c,9b9423bf-7615-49a8-bca9-6bba1a3264cd,d6fbe0b1-40cc-4088-9e40-a14a38a15b29,,SULTANA,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/islc66ndxp.jpeg,1,38,Ivoire,19900.00
461cd601-43a2-4ed3-9309-5ecc84a72279,a789d4ef-0591-4e3c-8f3f-68f5534328d4,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,40,Beige,16900.00
4abf85eb-285b-4719-a5d9-63c715a640e3,5ec02326-b9bd-43ca-a096-a8c68055d63b,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,42,,16900.00
527a0a6a-5c5b-4a3b-8b58-dcfd0db9e497,28e8d52c-e5fe-43a4-83a2-d47966c88add,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,38,Ivoire,16900.00
539d65a7-6789-45fb-a595-22a8d771b4f5,464fd586-f301-4c0c-bd88-a5ec7009eac7,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,40,Blanc,16900.00
546a7211-6fe6-42a6-a8b2-9eeebb908042,8e7e019a-a8de-4af4-9a91-bbfb43612b80,c5f1d113-7567-44f3-8a9b-f8ced96b0087,,EHSAS,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/zxthdvy5ol.jpeg,1,42,Rose,17900.00
57464e7f-ef7e-4082-9086-a0d48ef62ef3,c3467903-fadc-49fb-ac4b-1fedb0c7a51c,d6fbe0b1-40cc-4088-9e40-a14a38a15b29,,SULTANA,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/islc66ndxp.jpeg,1,40,Beige,19900.00
